;Data;1;2;3;4;5;6;7;8;class;pos;top1;same1;same3;source;bert;ulmfit;score;exp
82;Bellini and Giorgione, then Tiziano, Tintoretto, Veronese and Tiepolo completely changed the perception of space, light and colour thus leaving a decisive mark on the development of painting and decorative arts in the whole of Europe. - Criterion (ii) - influence/value;4;5;5;4;5;5;5;5;ii;True;True;True;0.5;justification;0.8709139227867126;0.6496713161468506;0.7602926194667816;4.75
83;Bellini and Giorgione, then Tiziano, Tintoretto, Veronese and Tiepolo completely changed the perception of space, light and colour thus leaving a decisive mark on the development of painting and decorative arts in the whole of Europe. - Criterion (i) - masterpiece;5;5;3;1;5;1;4;1;i;True;False;True;0.5;justification;0.04107261076569557;0.0;0.020536305382847786;3.125
84;Bellini and Giorgione, then Tiziano, Tintoretto, Veronese and Tiepolo completely changed the perception of space, light and colour thus leaving a decisive mark on the development of painting and decorative arts in the whole of Europe. - Criterion (iv) - typology;2;3;2;1;1;2;1;1;iv;True;False;True;0.5;justification;0.035205088555812836;0.16622531414031982;0.10071520134806633;1.625
85;Bellini and Giorgione, then Tiziano, Tintoretto, Veronese and Tiepolo completely changed the perception of space, light and colour thus leaving a decisive mark on the development of painting and decorative arts in the whole of Europe. - Criterion (iii) - testimony;1;5;4;1;1;2;2;1;iii;False;False;True;0.5;justification;0.0;0.0;0.0;2.125
86;These temporary settlements gradually became permanent and the initial refuge of the land-dwelling peasants and fishermen became a maritime power. - Criterion (iii) - testimony;3;2;2;4;5;5;1;1;iii;True;False;True;1.0;synthesis;0.13698364794254306;0.13747650384902954;0.13723007589578629;2.875
87;These temporary settlements gradually became permanent and the initial refuge of the land-dwelling peasants and fishermen became a maritime power. - Criterion (v) - land-use;5;5;2;4;5;5;4;2;v;True;True;True;1.0;synthesis;0.6730064749717712;0.5446863174438477;0.6088463962078094;4.0
88;These temporary settlements gradually became permanent and the initial refuge of the land-dwelling peasants and fishermen became a maritime power. - Criterion (iv) - typology;2;2;1;4;1;4;1;1;iv;True;False;True;1.0;synthesis;0.08416473120450974;0.08446994423866272;0.08431733772158623;2.0
89;These temporary settlements gradually became permanent and the initial refuge of the land-dwelling peasants and fishermen became a maritime power. - Criterion (ii) - influence/value;4;2;2;2;1;2;3;1;ii;False;False;True;1.0;synthesis;0.0;0.0;0.0;2.125
90;However, at the heart of the lagoon, Venice itself stood as one of the greatest capitals in the medieval world. - Criterion (iv) - typology;1;5;1;2;5;4;1;1;iv;True;True;False;0.5;synthesis;0.6756148338317871;0.31064680218696594;0.4931308180093765;2.5
91;However, at the heart of the lagoon, Venice itself stood as one of the greatest capitals in the medieval world. - Criterion (ii) - influence/value;5;5;4;2;1;1;4;1;ii;True;False;False;0.5;synthesis;0.10246355086565018;0.3486301600933075;0.22554685547947884;2.875
92;However, at the heart of the lagoon, Venice itself stood as one of the greatest capitals in the medieval world. - Criterion (vi) - association;4;3;1;2;1;2;2;1;vi;True;False;False;0.5;synthesis;0.1256321370601654;0.0;0.0628160685300827;2.0
93;However, at the heart of the lagoon, Venice itself stood as one of the greatest capitals in the medieval world. - Criterion (i) - masterpiece;2;3;4;2;5;4;1;2;i;False;False;False;0.5;synthesis;0.0;0.0;0.0;2.875
94;Venice and its lagoon form an inseparable whole of which the city of Venice is the pulsating historic heart and a unique artistic achievement. - Criterion (i) - masterpiece;5;5;5;4;5;4;4;5;i;True;True;True;0.5;synthesis;0.5781394243240356;0.6823422312736511;0.6302408277988434;4.625
95;Venice and its lagoon form an inseparable whole of which the city of Venice is the pulsating historic heart and a unique artistic achievement. - Criterion (vi) - association;5;3;1;2;1;2;1;1;vi;True;False;True;0.5;synthesis;0.2661503851413727;0.0;0.13307519257068634;2.0
96;Venice and its lagoon form an inseparable whole of which the city of Venice is the pulsating historic heart and a unique artistic achievement. - Criterion (ii) - influence/value;4;2;1;3;1;2;3;1;ii;True;False;True;0.5;synthesis;0.05494131520390511;0.10017038881778716;0.07755585201084614;2.125
97;Venice and its lagoon form an inseparable whole of which the city of Venice is the pulsating historic heart and a unique artistic achievement. - Criterion (iii) - testimony;2;2;4;4;1;2;1;1;iii;False;False;True;0.5;synthesis;0.0;0.0;0.0;2.125
98;Human interventions show high technical and creative skills in the realization of the hydraulic and architectural works in the lagoon area. - Criterion (i) - masterpiece;4;5;5;1;4;4;2;5;i;True;True;True;0.5;synthesis;0.6070713400840759;0.5898867845535278;0.5984790623188019;3.75
99;Human interventions show high technical and creative skills in the realization of the hydraulic and architectural works in the lagoon area. - Criterion (iv) - typology;4;5;3;1;1;2;4;2;iv;True;False;True;0.5;synthesis;0.16624465584754944;0.1214933693408966;0.14386901259422302;2.75
100;Human interventions show high technical and creative skills in the realization of the hydraulic and architectural works in the lagoon area. - Criterion (v) - land-use;5;1;4;1;5;4;5;1;v;True;False;True;0.5;synthesis;0.0;0.14892546832561493;0.07446273416280746;3.25
101;Human interventions show high technical and creative skills in the realization of the hydraulic and architectural works in the lagoon area. - Criterion (iii) - testimony;1;5;4;2;1;4;1;1;iii;False;False;True;0.5;synthesis;0.0;0.0;0.0;2.375
102;Over the centuries, during the entire period of the expansion of Venice, when it was obliged to defend its trading markets against the commercial undertakings of the Arabs, the Genoese and the Ottoman Turks, Venice never ceased to consolidate its position in the lagoon. - Criterion (iv) - typology;2;2;1;1;1;2;1;1;iv;True;True;False;0.5;synthesis;0.5908682942390442;0.300818145275116;0.4458432197570801;1.375
103;Over the centuries, during the entire period of the expansion of Venice, when it was obliged to defend its trading markets against the commercial undertakings of the Arabs, the Genoese and the Ottoman Turks, Venice never ceased to consolidate its position in the lagoon. - Criterion (iii) - testimony;3;4;1;5;5;4;1;1;iii;True;False;False;0.5;synthesis;0.0;0.3605868518352509;0.18029342591762546;3.0
104;Over the centuries, during the entire period of the expansion of Venice, when it was obliged to defend its trading markets against the commercial undertakings of the Arabs, the Genoese and the Ottoman Turks, Venice never ceased to consolidate its position in the lagoon. - Criterion (vi) - association;4;4;1;1;1;5;3;1;vi;True;False;False;0.5;synthesis;0.14351209998130798;0.0;0.07175604999065399;2.5
105;Over the centuries, during the entire period of the expansion of Venice, when it was obliged to defend its trading markets against the commercial undertakings of the Arabs, the Genoese and the Ottoman Turks, Venice never ceased to consolidate its position in the lagoon. - Criterion (v) - land-use;5;1;2;1;1;4;2;1;v;False;False;False;0.5;synthesis;0.0;0.0;0.0;2.125
106;The unique cultural heritage accumulated in the lagoon over the centuries is attested by the discovery of important archaeological settlements in the Altino area and other sites on the mainland, which were important communication and trade hubs. - Criterion (iii) - testimony;5;4;4;4;1;4;4;1;iii;True;True;False;1.0;synthesis;0.28399360179901123;0.6768420934677124;0.4804178476333618;3.375
107;The unique cultural heritage accumulated in the lagoon over the centuries is attested by the discovery of important archaeological settlements in the Altino area and other sites on the mainland, which were important communication and trade hubs. - Criterion (ii) - influence/value;5;3;4;1;5;4;3;1;ii;True;False;False;1.0;synthesis;0.6074150204658508;0.10558608919382097;0.3565005548298359;3.25
108;The unique cultural heritage accumulated in the lagoon over the centuries is attested by the discovery of important archaeological settlements in the Altino area and other sites on the mainland, which were important communication and trade hubs. - Criterion (iv) - typology;2;5;1;4;1;2;1;1;iv;True;False;False;1.0;synthesis;0.040689144283533096;0.1254647821187973;0.0830769632011652;2.125
109;The unique cultural heritage accumulated in the lagoon over the centuries is attested by the discovery of important archaeological settlements in the Altino area and other sites on the mainland, which were important communication and trade hubs. - Criterion (v) - land-use;4;4;4;2;1;5;4;1;v;False;False;False;1.0;synthesis;0.0;0.0;0.0;3.125
110;Venice and its lagoon landscape is the result of a dynamic process which illustrates the interaction between people and the ecosystem of their natural environment over time. - Criterion (ii) - influence/value;4;3;1;2;1;2;4;1;ii;True;False;True;1.0;synthesis;0.12410710752010345;0.0763368159532547;0.10022196173667908;2.25
111;Venice and its lagoon landscape is the result of a dynamic process which illustrates the interaction between people and the ecosystem of their natural environment over time. - Criterion (v) - land-use;5;5;4;5;5;5;5;1;v;True;True;True;1.0;synthesis;0.6003512740135193;0.8441964387893677;0.7222738564014435;4.375
112;Venice and its lagoon landscape is the result of a dynamic process which illustrates the interaction between people and the ecosystem of their natural environment over time. - Criterion (iv) - typology;2;2;1;3;1;4;3;1;iv;True;False;True;1.0;synthesis;0.20906905829906464;0.016966894268989563;0.1130179762840271;2.125
113;Venice and its lagoon landscape is the result of a dynamic process which illustrates the interaction between people and the ecosystem of their natural environment over time. - Criterion (vi) - association;3;4;1;5;1;1;1;5;vi;False;False;True;1.0;synthesis;0.0;0.0;0.0;2.625
114;When a group of tiny islands were consolidated and organized in a unique urban system, nothing remained of the primitive topography but what became canals, such as the Giudecca Canal, St Mark's Canal and the Great Canal, and a network of small rii that are the veritable arteries of a city on water. - Criterion (v) - land-use;5;5;3;4;5;5;5;2;v;True;True;False;0.5;synthesis;0.5357152223587036;0.13124658167362213;0.3334809020161629;4.25
115;When a group of tiny islands were consolidated and organized in a unique urban system, nothing remained of the primitive topography but what became canals, such as the Giudecca Canal, St Mark's Canal and the Great Canal, and a network of small rii that are the veritable arteries of a city on water. - Criterion (i) - masterpiece;1;5;1;4;4;4;1;1;i;True;False;False;0.5;synthesis;0.0;0.1257563978433609;0.06287819892168045;2.625
116;When a group of tiny islands were consolidated and organized in a unique urban system, nothing remained of the primitive topography but what became canals, such as the Giudecca Canal, St Mark's Canal and the Great Canal, and a network of small rii that are the veritable arteries of a city on water. - Criterion (iv) - typology;4;5;1;1;5;4;2;1;iv;True;False;False;0.5;synthesis;0.3388122022151947;0.5020047426223755;0.4204084724187851;2.875
117;When a group of tiny islands were consolidated and organized in a unique urban system, nothing remained of the primitive topography but what became canals, such as the Giudecca Canal, St Mark's Canal and the Great Canal, and a network of small rii that are the veritable arteries of a city on water. - Criterion (vi) - association;2;3;1;3;1;2;1;2;vi;False;False;False;0.5;synthesis;0.0;0.0;0.0;1.875
118;From Torcello to the north to Chioggia to the south, almost every small island had its own settlement, town, fishing village and artisan village (Murano). - Criterion (ii) - influence/value;4;1;2;3;1;2;3;1;ii;True;True;False;0.5;synthesis;0.4729530215263367;0.0;0.23647651076316836;2.125
119;From Torcello to the north to Chioggia to the south, almost every small island had its own settlement, town, fishing village and artisan village (Murano). - Criterion (iv) - typology;4;5;2;4;1;4;1;1;iv;True;False;False;0.5;synthesis;0.3818904757499695;0.29179316759109497;0.3368418216705322;2.75
120;From Torcello to the north to Chioggia to the south, almost every small island had its own settlement, town, fishing village and artisan village (Murano). - Criterion (v) - land-use;5;5;2;5;5;5;4;2;v;True;False;False;0.5;synthesis;0.0;0.4012219309806824;0.2006109654903412;4.125
121;From Torcello to the north to Chioggia to the south, almost every small island had its own settlement, town, fishing village and artisan village (Murano). - Criterion (vi) - association;2;5;1;4;1;2;1;1;vi;False;False;False;0.5;synthesis;0.0;0.0;0.0;2.125
122;The influence of Venice on the development of architecture and monumental arts has been considerable. - Criterion (ii) - influence/value;5;5;5;4;5;5;5;5;ii;True;True;True;0.5;synthesis;0.8343498110771179;0.7754863500595093;0.8049180805683136;4.875
123;The influence of Venice on the development of architecture and monumental arts has been considerable. - Criterion (vi) - association;5;3;1;1;1;4;1;1;vi;True;False;True;0.5;synthesis;0.0;0.07657624781131744;0.03828812390565872;2.125
124;The influence of Venice on the development of architecture and monumental arts has been considerable. - Criterion (iv) - typology;2;5;1;1;1;2;1;1;iv;True;False;True;0.5;synthesis;0.06578017771244049;0.07356942445039749;0.06967480108141899;1.75
125;The influence of Venice on the development of architecture and monumental arts has been considerable. - Criterion (v) - land-use;1;1;1;1;1;1;1;1;v;False;False;True;0.5;synthesis;0.0;0.0;0.0;1.0
126;Founded in the 5th century AD and spread over 118 small islands, Venice became a major maritime power in the 10th century. - Criterion (ii) - influence/value;5;2;4;5;1;2;1;2;ii;True;True;False;1.0;synthesis;0.8247118592262268;0.2507964372634888;0.5377541482448578;2.75
127;Founded in the 5th century AD and spread over 118 small islands, Venice became a major maritime power in the 10th century. - Criterion (iii) - testimony;4;5;4;5;5;4;3;1;iii;True;False;False;1.0;synthesis;0.042728990316390984;0.44072610139846796;0.24172754585742948;3.875
128;Founded in the 5th century AD and spread over 118 small islands, Venice became a major maritime power in the 10th century. - Criterion (iv) - typology;2;5;1;2;1;4;1;1;iv;True;False;False;1.0;synthesis;0.07766999304294586;0.16109083592891693;0.1193804144859314;2.125
129;Founded in the 5th century AD and spread over 118 small islands, Venice became a major maritime power in the 10th century. - Criterion (i) - masterpiece;1;3;3;2;1;2;1;1;i;False;False;False;1.0;synthesis;0.0;0.0;0.0;1.75
