Unnamed: 0,data,len,true,fuzzy,id,single,split,source
3396,"they are home to a very diverse array of animals , including <NUM>  of the large mammals especially elephants and tigers , <NUM>  of the large birds and <NUM>  of the land vertebrates to be found in this region . ",37,[0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.2],[0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.2],591,,dev,short_description
3753,"because of their precipitous nature , most of the islands are uninhabited and unaffected by a human presence",17,[0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.2],[0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.2],672,,dev,short_description
3662,"the exceptional variety of its water habitats has made it a sanctuary for a large number of birds and reptiles , as well as for threatened species such as the manatee . ",30,[0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  0.2],[0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  0.2],76,,dev,short_description
756,"it is in particular a reservoir for sharks , giant grouper and billfish and is one of the few places in the world where sightings of the short nosed ragged toothed shark , a deepwater shark , have been confirmed",35,[0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.2],[0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.2],1216,,dev,short_description
732,"extending over <NUM>  , <NUM>  ha in north western colombia , los katios national park comprises low hills , forests and humid plains",18,[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],711,,dev,short_description
232,"the building of the company , which remained in activity until <NUM>  , contains a large collection of old printing equipment , an extensive library , invaluable archives and works of art , among them a painting by rubens . ",34,[0.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],[0.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],1185,,dev,short_description
1678,"it is an outstanding and technologically innovative example of islamic architecture that influenced sacral building in iran , anatolia and central asia",21,[1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1398,,dev,short_description
3019,"it was known as felix romuliana , named after the emperor rsquo s mother",11,[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1253,,dev,short_description
1915,they also offer an original example of a public network of private residences designated to host state visits . ,18,[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],1211,,dev,short_description
2913,"it is a major feeding ground for the grey whale migrating from mexico and the northernmost nesting ground for <NUM>  migratory bird species , many endangered",25,[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],1023,,dev,short_description
1049,"the royal saltworks of arc et senans , near besancon , was built by claude nicolas ledoux",13,[1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],203,,dev,short_description
3356,"located at the crossroads of several trade routes from the <NUM> nd millennium b . c . , aleppo was ruled successively by the hittites , assyrians , arabs , mongols , mamelukes and ottomans",26,[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],21,,dev,short_description
3292,"with its castle , perfectly preserved theatre built in <NUM>  , chinese pavilion and gardens , it is the finest example of an <NUM> th century north european royal residence inspired by the palace of versailles . ",31,[0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],559,,dev,short_description
2001,"included in the site are fortresses , shrines , parts of kaid ocirc transport routes to the coast , and three port towns , tomogaura , okidomari and yunotsu , from where the ore was shipped . ",29,[0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.2],[0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.2],1246,,dev,short_description
2399,the site is also believed to be the place of genghis khans birth and burial,15,[0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],[0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],1440,,dev,short_description
491,the colonial city of valpara iacute so presents an excellent example of late <NUM> th century urban and architectural development in latin america,19,[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],959,,dev,short_description
3092,they are also inscribed as exceptional testimonies to a cultural tradition and as outstanding illustrations of a significant stage in human history . ,22,[1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],[1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],310,,dev,short_description
2634,"the natural setting , on the eastern slopes of the andes , encompasses the upper amazon basin with its rich diversity of flora and fauna . ",23,[1.  0.  1.  0.  0.  0.  1.  0.  1.  0.  0.2],[1.  0.  1.  0.  0.  0.  1.  0.  1.  0.  0.2],274,,dev,short_description
878,"the geomantic layout of the former capital city of kaesong , its palaces , institutions and tomb complex , defensive walls and gates embody the political , cultural , philosophical and spiritual values of a crucial era in the region rsquo s history . nbsp the monuments inscribed also include an astronomical and meteorological observatory , two schools including one dedicated to educating national officials and commemorative steles",58,[0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],1278,,dev,short_description
653,"with its five flat peaks , mount wutai is a sacred buddhist mountain",12,[0.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],[0.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],1279,,dev,short_description
273,"the archaeological record of the area gives a chronological account of human activities and environmental changes over at least <NUM>  , <NUM>  years",21,[1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],[1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],1021,,dev,short_description
1510,"the construction of the nilgiri mountain railway , a <NUM>  km long metre gauge single track railway in tamil nadu state was first proposed in <NUM>  , but due to the difficulty of the mountainous location the work only started in <NUM>  and was completed in <NUM> ",42,[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],944,,dev,short_description
981,"massive erosion over the years on the ethiopian plateau has created one of the most spectacular landscapes in the world , with jagged mountain peaks , deep valleys and sharp precipices dropping some <NUM>  , <NUM>  m",33,[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],9,,dev,short_description
1315,"the pan hellenic sanctuary of delphi , where the oracle of apollo spoke , was the site of the omphalos , the navel of the world ",22,[1.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],[1.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.2],393,,dev,short_description
1647,"situated on the south eastern fringe of the main zone of the armenian cultural space , the monasteries constituted a major centre for the dissemination of that culture in the region",29,[0.  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],[0.  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],1262,,dev,short_description
883,"the park s immense savannahs , grasslands and woodlands , interspersed with gallery forests along the river banks and the swampy depressions , are home to four large mammals the elephant , giraffe , hippopotamus and above all the white rhinoceros",35,[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],136,,dev,short_description
3040,"the edifices exhibit some typological variations in their floor plans , interior spaces and external appearance due to their respective religious practices",21,[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1273,,dev,short_description
2482,the modern town consists of several distinct historic districts whose architecture reflects not only european urban planning concepts but also styles from the netherlands and from the spanish and portuguese colonial towns with which willemstad engaged in trade . ,37,[0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.2],819,,dev,short_description
1737,"a continuous wall of tall <NUM> th century facades still conveys the visual impression of an impregnable fortress , dominating the city of erbil",21,[0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],1437,,dev,short_description
580,"the serene beauty of the dramatic gorges of the nine bend river , with its numerous temples and monasteries , many now in ruins , provided the setting for the development and spread of neo confucianism , which has been influential in the cultures of east asia since the <NUM> th century",46,[0.  0.  1.  0.  0.  1.  1.  0.  0.  1.  0.2],[0.  0.  1.  0.  0.  1.  1.  0.  0.  1.  0.2],911,,dev,short_description
3051,"combined with the strong climatic effects of frequent cyclones , the site is a true natural laboratory for scientific study",19,[0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.2],[0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.2],854,,dev,short_description
845,the town s gothic castle was reconstructed in high gothic style in the late <NUM> th century . ,15,[1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],621,,dev,short_description
3210,"it was the first bridge in the world to carry people and traffic on a high suspended gondola and was used as a model for many similar bridges in europe , africa and the america only a few of which survive",40,[1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.2],[1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.2],1217,,dev,short_description
2320,campeche is a typical example of a harbour town from the spanish colonial period in the new world,18,[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],895,,dev,short_description
3373,"this centre of settlement , one of the oldest in central asia , is situated between a mountainous region suitable for cattle rearing by nomadic pastoralists , and a large valley conducive to the development of agriculture and irrigation by the first settled populations in the region",44,[0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],1141,,dev,short_description
1428,"this recurrent phenomenon has led to the emergence of unique sandur plains , river systems and rapidly evolving canyons",18,[0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.2],[0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.2],1604,,dev,short_description
541,"temples of various architectural styles and imperial gardens blend harmoniously into a landscape of lakes , pastureland and forests",18,[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],703,,dev,short_description
903,"the jelling burial mounds and one of the runic stones are striking examples of pagan nordic culture , while the other runic stone and the church illustrate the christianization of the danish people towards the middle of the <NUM> th century . ",39,[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],697,,dev,short_description
1387,"the vatican city , one of the most sacred places in christendom , attests to a great history and a formidable spiritual venture",21,[1.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],[1.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],286,,dev,short_description
1452,the first buddhist cave monuments at ajanta date from the <NUM> nd and <NUM> st centuries b . c,15,[1.  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],[1.  1.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],242,,dev,short_description
3250,"it is also the site of the temple of the tooth relic the sacred tooth of the buddha , which is a famous pilgrimage site . ",24,[0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],[0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],450,,dev,short_description
1582,"built in the <NUM> th century , this is the largest temple compound dedicated to shiva in indonesia",16,[1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],642,,dev,short_description
467,"this site is located on the northern edge of the semi arid great plains of north america , on the border between canada and the united states of america",27,[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],1597,,dev,short_description
150,"they are a harmonious blend of the architectural styles and artistic movements that have succeeded each other from the middle ages until the <NUM> th century , from the many neighbouring regions of central and mediterranean europe",35,[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],931,,dev,short_description
2560,"the oasis of bahla owes its prosperity to the banu nebhan , the dominant tribe in the area from the <NUM> th to the end of the <NUM> th century",27,[0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],433,,dev,short_description
1579,"these volcanic islands are inhabited by a population of around <NUM>  , <NUM>  giant lizards , whose appearance and aggressive behaviour have led to them being called komodo dragons ",26,[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],609,,dev,short_description
2439,"they reflect the pyu kingdoms that flourished for over <NUM>  , <NUM>  years between <NUM>  bc and ad <NUM> ",17,[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1444,,dev,short_description
3154,it is an excellent example of a provincial roman capital during the empire and in the years afterwards . ,18,[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],664,,dev,short_description
324,"they also include the botanical gardens , established in <NUM>  , corcovado mountain with its celebrated statue of christ , and the hills around guanabara bay , including the extensive designed landscapes along copacabana bay which have contributed to the outdoor living culture of this spectacular city",43,[0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.2],[0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.2],1100,,dev,short_description
212,"together with the canal itself and its associated structures , they constitute a remarkably well preserved and complete example of a late <NUM> th century industrial landscape",22,[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],856,,dev,short_description
2388,"the <NUM>  , <NUM>  ha orkhon valley cultural landscape encompasses an extensive area of pastureland on both banks of the orkhon river and includes numerous archaeological remains dating back to the <NUM> th century",30,[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1081,,dev,short_description
517,this palace then became auxiliary to the imperial palace in beijing,11,[1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],439,,dev,short_description
2562,the protohistoric site of bat lies near a palm grove in the interior of the sultanate of oman,18,[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],434,,dev,short_description
3516,the spiritual and intellectual influence of kiev pechersk lavra contributed to the spread of orthodox thought and the orthodox faith in the russian world from the <NUM> th to the <NUM> th century . ,30,[1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],527,,dev,short_description
2099,"settlement seems to have served as a fort for communities and livestock , but also defined social entities and relationships linked to lineage",22,[0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.2],1450,,dev,short_description
3393,"it is internationally important for the conservation of globally threatened and endangered mammal , bird and reptile species , among them <NUM>  that are vulnerable , four that are endangered , and one that is critically endangered",33,[0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.2],[0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.2],590,,dev,short_description
2939,"the site also contains a wealth of cambrian fossil remains of numerous species , some of them unique . ",17,[0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.2],[0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.2],1299,,dev,short_description
911,"researchers think that this caused the most remarkable mass extinction ever , responsible for the disappearance of over <NUM>  per cent of all life on earth",25,[0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.2],[0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.2],1416,,dev,short_description
2943,"inspired by the byzantine and novgorod traditions , the pskov school of architecture reached its peak in the <NUM> th and <NUM> th centuries , and was one of the foremost schools in the country",31,[0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.2],1523,,dev,short_description
688,the landforms and ecosystems of the site have been preserved since the pliocene epoch and present an outstanding example of ongoing biological and ecological evolutionary processes,26,[0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.2],[0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.2],1414,,dev,short_description
3698,jefferson s use of an architectural vocabulary based upon classical antiquity symbolizes both the aspirations of the new american republic as the inheritor of european tradition and the cultural experimentation that could be expected as the country matured . ,37,[1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],[1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],442,,dev,short_description
2159,"the kernave archaeological site , about <NUM>  km north west of vilnius in eastern lithuania , represents an exceptional testimony to some <NUM>  millennia of human settlements in this region",27,[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1137,,dev,short_description
3334,"it features a wide diversity of ecosystems , including successional stages due particularly to the retreat of glaciers resulting from climate change",21,[0.  0.  0.  0.  0.  0.  1.  1.  1.  0.  0.2],[0.  0.  0.  0.  0.  0.  1.  1.  1.  0.  0.2],1037,,dev,short_description
1540,"the <NUM>  , <NUM>  nbsp ha property includes the upper mountain glacial and snow meltwater sources of several rivers , and the catchments of water supplies that are vital to millions of downstream users",29,[0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.2],[0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.2],1406,,dev,short_description
1419,"free from human interference , surtsey has been producing unique long term information on the colonisation process of new land by plant and animal life",23,[0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.2],[0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.2],1267,,dev,short_description
2641,it is the home of such species as the spectacled bear and the andean condor . ,15,[0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.2],[0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.2],333,,dev,short_description
1242,"although it has retained some original sections from the feudal period , the form it acquired during the <NUM> th century reconstitution gives a good idea of what this fortress might have been at the height of its military and seigneurial power",39,[0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],[0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],897,,dev,short_description
1205,"it extends into the district of berlin zehlendorf , with the palaces and parks lining the banks of the river havel and lake glienicke",22,[1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],532,,dev,short_description
3037,"among other remarkable features , it also contains a small jewish quarter around a fine <NUM> th century synagogue . ",16,[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],973,,dev,short_description
2935,they were produced by the regions extreme continental climate with an annual temperature range of almost <NUM>  degrees celsius from <NUM>  c in winter to <NUM>  c in summer ,29,[0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.2],[0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.2],1299,,dev,short_description
3088,the property will now appear on the list as cave of altamira and paleolithic cave art of northern spain,19,[1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],[1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],310,,dev,short_description
3841,"compared with the keep symbol of the seigneurs and the bell tower symbol of the church , the belfry , the third tower in the urban landscape , symbolizes the power of the aldermen",30,[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],943,,dev,short_description
3604,"liverpool played an important role in the growth of the british empire and became the major port for the mass movement of people , e . g",24,[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1150,,dev,short_description
2457,"sagarmatha is an exceptional area with dramatic mountains , glaciers and deep valleys , dominated by mount everest , the highest peak in the world <NUM>  , <NUM>  m ",24,[0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.2],[0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.2],120,,dev,short_description
1875,"the villa adriana at tivoli , near rome is an exceptional complex of classical buildings created in the <NUM> nd century a . d",20,[1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],[1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],907,,dev,short_description
1827,the em trulli em are made of roughly worked limestone boulders collected from neighbouring fields,13,[0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.2],787,,dev,short_description
